43,58,68,101,146,169,171,200,441,513,516,683,756,807,831,874,939,958,1008,1012,1181,1190,1203,1220,1248,1275,1341,1360,1461,1561,1692,1724,1779,1844,1848,1919,1951,2005,2178,2216,2267,2412,2510,2538,2614,2978,3037,3186,3282,3393,3402,3406,3428,3438,3489,3713,3723,3812,3829,3944,4072,4182,4301,4409
2,77,86,182,185,286,315,432,599,615,622,674,703,781,939,1039,1145,1206,1222,1232,1240,1353,1354,1426,1440,1524,1604,1708,1820,1839,1848,1881,1956,1962,1980,2004,2080,2130,2146,2172,2199,2331,2448,2460,2532,2609,2821,2843,2846,2889,2973,3170,3203,3266,3386,3582,3637,3990,4085,4129,4196,4258,4321,4352
28,73,117,277,331,334,492,557,625,658,678,682,738,739,953,1029,1069,1146,1149,1221,1270,1310,1440,1522,1561,1590,1655,1658,1709,1794,1813,1843,1870,1896,1965,2057,2094,2120,2261,2262,2401,2763,2802,2844,2846,2914,2973,2975,3003,3054,3154,3161,3347,3359,3399,3409,3484,3485,3582,3712,4184,4209,4398,4433
2,53,309,311,425,539,558,647,651,656,728,763,791,802,924,1032,1045,1145,1148,1221,1354,1375,1589,1793,1812,1854,1870,1938,1949,2108,2128,2148,2150,2406,2525,2557,2600,2656,2811,2830,2884,2919,2962,2975,2978,3105,3300,3426,3467,3510,3582,3584,3604,3614,3640,3692,3860,3931,3945,3990,4082,4112,4274,4425
31,33,51,53,72,365,403,428,481,579,623,656,680,793,798,837,911,918,985,1073,1140,1232,1270,1293,1299,1330,1417,1449,1650,1733,1801,1815,2042,2110,2137,2401,2471,2694,2786,2875,2886,2917,3062,3071,3103,3165,3195,3373,3376,3416,3467,3640,3672,3778,3794,3918,3990,4002,4121,4209,4257,4316,4410,4414
34,44,118,179,192,226,253,329,377,449,473,521,556,691,697,738,780,898,958,1133,1354,1362,1366,1414,1452,1587,1604,1632,1672,1748,1768,1857,1895,1899,1954,2127,2261,2517,2519,2554,2666,2796,2801,2848,2869,2955,3013,3110,3208,3300,3337,3384,3860,3912,4000,4097,4156,4240,4266,4274,4280,4289,4304,4424
34,86,207,213,220,341,494,663,703,738,739,782,856,859,909,1360,1415,1432,1452,1454,1509,1514,1553,1567,1604,1635,1672,1857,1929,2010,2085,2127,2170,2376,2483,2532,2601,2664,2925,2935,2980,3027,3057,3098,3291,3404,3484,3521,3534,3598,3600,3608,3664,3666,3673,3729,3793,4106,4266,4279,4300,4404,4405,4424
36,229,249,263,300,331,367,455,487,504,599,702,728,739,765,895,924,1010,1080,1106,1117,1155,1175,1249,1310,1325,1340,1360,1497,1566,1604,1686,1761,1792,2132,2172,2230,2270,2320,2331,2466,2483,2532,2569,2766,2801,2879,3013,3029,3073,3148,3184,3324,3426,3632,3692,3696,3733,3827,3841,4030,4280,4380,4433
31,103,155,200,291,309,311,344,487,492,512,635,775,790,1072,1137,1175,1275,1318,1354,1604,1620,1683,1744,1815,1894,1959,1962,1972,1978,2057,2112,2170,2188,2319,2481,2486,2529,2572,2846,2953,2975,2979,2999,3015,3077,3094,3282,3562,3638,3645,3663,3673,3690,3740,3901,3908,4021,4119,4182,4301,4369,4419,4423
36,95,108,213,216,442,581,590,593,608,635,648,738,765,780,786,797,888,1090,1175,1223,1281,1315,1407,1637,1740,1778,1870,1898,1962,2057,2271,2312,2466,2502,2569,2736,2795,2846,2848,2884,2974,3020,3045,3077,3230,3237,3279,3368,3422,3426,3532,3582,3600,3729,3733,3762,3796,3860,4134,4279,4308,4403,4419
