9,15,31,79,104,112,130,133,142,159,171,177,179,183,187,201,209,217,318,358,371,391,394,396,403,405,406,414,418,420,424,425,426,427,431,435,441,453,468,472,479,518,520,521,522,576,577,578,579,584
7,14,17,52,63,134,138,144,156,162,173,179,184,193,194,201,208,214,223,301,358,360,362,364,365,371,388,389,391,393,395,417,420,424,425,426,431,435,441,452,466,471,477,512,553,576,577,578,579,584
1,5,9,14,17,29,31,98,111,127,130,136,168,170,173,179,182,189,200,201,209,359,371,372,388,391,395,412,414,418,420,424,425,426,431,435,440,442,462,471,480,482,513,516,519,546,576,577,579,584
8,15,27,31,50,56,79,118,132,139,146,158,164,165,166,167,173,176,184,196,212,297,357,371,390,392,395,413,415,418,420,424,425,426,427,435,440,442,453,469,472,483,515,523,572,576,577,579,607,613
9,10,12,16,17,31,72,79,86,93,134,138,159,173,178,182,185,199,212,241,311,358,364,371,389,393,395,396,412,417,420,425,426,431,441,457,463,470,476,479,504,506,507,534,538,570,576,577,578,584
8,15,17,31,36,38,75,96,112,129,137,142,159,161,166,169,173,178,183,187,214,358,360,391,394,396,414,418,420,424,425,426,427,435,440,442,447,465,466,467,470,477,478,479,530,531,576,577,579,584
8,9,10,11,15,43,63,82,104,110,133,153,154,159,165,170,175,178,183,188,199,212,359,371,391,394,396,403,413,417,420,423,424,425,426,427,435,441,446,458,462,470,479,506,523,576,577,579,584,593
8,12,15,17,28,31,47,61,95,138,144,159,165,167,173,182,188,200,209,269,275,358,369,371,372,389,391,393,395,396,403,411,416,417,420,424,425,426,431,435,441,442,456,464,470,472,576,577,579,584
6,8,15,62,66,68,73,75,95,109,133,139,144,151,159,164,167,173,186,189,209,212,219,303,326,358,372,390,393,396,401,410,412,416,420,425,426,427,435,440,442,454,465,479,491,559,576,577,578,584
7,9,10,12,14,17,62,138,142,157,171,177,179,183,200,213,236,266,290,297,358,364,372,388,391,393,395,416,419,420,424,425,426,431,441,461,465,470,477,507,514,518,519,535,537,549,576,577,579,584
8,15,17,31,36,38,75,96,112,129,137,142,159,161,166,169,173,178,183,187,214,358,360,391,394,396,414,418,420,424,425,426,427,435,440,442,447,465,466,467,470,477,478,479,530,531,576,577,579,584
8,9,10,11,15,43,63,82,104,110,133,153,154,159,165,170,175,178,183,188,199,212,359,371,391,394,396,403,413,417,420,423,424,425,426,427,435,441,446,458,462,470,479,506,523,576,577,579,584,593
8,12,15,17,28,31,47,61,95,138,144,159,165,167,173,182,188,200,209,269,275,358,369,371,372,389,391,393,395,396,403,411,416,417,420,424,425,426,431,435,441,442,456,464,470,472,576,577,579,584
6,8,15,62,66,68,73,75,95,109,133,139,144,151,159,164,167,173,186,189,209,212,219,303,326,358,372,390,393,396,401,410,412,416,420,425,426,427,435,440,442,454,465,479,491,559,576,577,578,584
7,9,10,12,14,17,62,138,142,157,171,177,179,183,200,213,236,266,290,297,358,364,372,388,391,393,395,416,419,420,424,425,426,431,441,461,465,470,477,507,514,518,519,535,537,549,576,577,579,584
14,15,22,29,40,49,63,78,95,127,137,144,158,159,170,173,182,188,197,210,239,240,286,287,316,358,364,371,391,393,396,414,418,420,425,426,435,441,459,463,471,476,513,519,522,551,576,577,579,584
7,9,14,15,16,18,21,30,56,76,88,100,102,111,126,130,169,173,182,190,199,210,357,362,371,390,392,394,396,410,411,412,413,417,420,424,425,426,427,439,441,462,471,476,479,489,514,576,577,579
1,8,14,17,30,106,111,134,159,169,173,176,181,188,189,204,206,211,216,219,221,294,357,371,372,389,392,394,396,404,410,412,417,420,425,426,431,441,446,458,463,467,471,479,503,565,576,577,578,584
5,8,16,30,66,78,95,103,112,113,129,130,138,141,150,156,176,179,193,198,201,217,358,364,365,371,390,393,395,415,418,419,420,421,424,425,426,435,436,441,467,477,479,514,532,563,576,577,579,584
9,17,30,47,71,124,135,140,145,159,169,175,184,188,189,202,211,213,219,222,316,319,357,358,362,371,391,394,396,412,414,417,420,424,425,426,431,435,440,442,458,466,479,516,535,547,576,577,578,584
9,15,31,79,104,112,130,133,142,159,171,177,179,183,187,201,209,217,318,358,371,391,394,396,403,405,406,414,418,420,424,425,426,427,431,435,441,453,468,472,479,518,520,521,522,576,577,578,579,584
7,14,17,52,63,134,138,144,156,162,173,179,184,193,194,201,208,214,223,301,358,360,362,364,365,371,388,389,391,393,395,417,420,424,425,426,431,435,441,452,466,471,477,512,553,576,577,578,579,584
1,5,9,14,17,29,31,98,111,127,130,136,168,170,173,179,182,189,200,201,209,359,371,372,388,391,395,412,414,418,420,424,425,426,431,435,440,442,462,471,480,482,513,516,519,546,576,577,579,584
8,15,27,31,50,56,79,118,132,139,146,158,164,165,166,167,173,176,184,196,212,297,357,371,390,392,395,413,415,418,420,424,425,426,427,435,440,442,453,469,472,483,515,523,572,576,577,579,607,613
9,10,12,16,17,31,72,79,86,93,134,138,159,173,178,182,185,199,212,241,311,358,364,371,389,393,395,396,412,417,420,425,426,431,441,457,463,470,476,479,504,506,507,534,538,570,576,577,578,584
9,15,31,79,104,112,130,133,142,159,171,177,179,183,187,201,209,217,318,358,371,391,394,396,403,405,406,414,418,420,424,425,426,427,431,435,441,453,468,472,479,518,520,521,522,576,577,578,579,584
7,14,17,52,63,134,138,144,156,162,173,179,184,193,194,201,208,214,223,301,358,360,362,364,365,371,388,389,391,393,395,417,420,424,425,426,431,435,441,452,466,471,477,512,553,576,577,578,579,584
1,5,9,14,17,29,31,98,111,127,130,136,168,170,173,179,182,189,200,201,209,359,371,372,388,391,395,412,414,418,420,424,425,426,431,435,440,442,462,471,480,482,513,516,519,546,576,577,579,584
8,15,27,31,50,56,79,118,132,139,146,158,164,165,166,167,173,176,184,196,212,297,357,371,390,392,395,413,415,418,420,424,425,426,427,435,440,442,453,469,472,483,515,523,572,576,577,579,607,613
9,10,12,16,17,31,72,79,86,93,134,138,159,173,178,182,185,199,212,241,311,358,364,371,389,393,395,396,412,417,420,425,426,431,441,457,463,470,476,479,504,506,507,534,538,570,576,577,578,584
