16,48,6,5,4,6,5,9,4,7
35,50,4,10,15,12,15,17,16,9
39,50,49,46,46,42,40,41,44,46
39,50,50,49,49,49,49,50,49,49
39,50,50,50,50,50,50,50,50,50
