4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,14,15,16,28,35,38,46,49
3,4,7,17,24,28,31,46,49,63
3,4,7,16,24,31,38,63,65,76
3,7,10,16,24,25,31,44,62,63
4,7,9,24,31,38,49,60,66,76
4,7,9,14,23,24,31,34,62,63
3,4,7,9,19,36,38,44,46,63
4,7,9,16,24,31,46,61,62,76
4,7,15,16,17,19,31,62,63,76
3,4,7,16,17,23,24,31,46,63
4,7,12,17,24,25,34,46,49,76
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,14,15,16,28,35,38,46,49
3,4,7,17,24,28,31,46,49,63
3,4,7,16,24,31,38,63,65,76
3,7,10,16,24,25,31,44,62,63
4,7,9,24,31,38,49,60,66,76
4,7,9,14,23,24,31,34,62,63
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,14,15,16,28,35,38,46,49
3,4,7,9,19,36,38,44,46,63
4,7,9,16,24,31,46,61,62,76
4,7,15,16,17,19,31,62,63,76
3,4,7,16,17,23,24,31,46,63
4,7,12,17,24,25,34,46,49,76
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,14,15,16,28,35,38,46,49
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,46,61,62,65
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,14,15,16,28,35,38,46,49
4,7,14,23,24,44,46,62,63,65
4,7,9,20,31,42,44,46,65,76
1,4,7,9,14,15,16,20,46,49
0,1,4,7,10,31,32,46,60,72
1,4,7,14,15,16,28,35,46,76
