1,9,16,30,38,52,55,56,78,114,119,126,130,146,148,150,153,164,174,190,195,209,217,225,231,263,271,291,298,315,336,427,429,453,459,463,471,478,495,508,514,559,563,565,570,572,577,578,588,612
7,12,19,24,25,47,81,86,113,116,121,132,138,142,162,174,176,181,189,197,223,248,271,285,290,293,316,365,424,427,428,441,460,465,466,489,491,500,506,516,517,522,539,551,555,559,563,579,584,589
5,16,17,18,28,51,67,73,78,84,112,121,136,143,151,177,181,182,198,209,219,223,228,246,259,263,271,278,285,312,364,424,426,455,463,465,471,479,483,491,493,504,537,560,562,576,577,579,584,615
16,27,39,61,88,99,123,140,158,163,165,168,176,181,186,197,207,216,229,237,244,246,290,298,303,306,336,366,390,394,412,425,427,428,440,453,460,462,469,477,479,494,518,535,552,555,576,579,584,597
31,47,49,58,81,86,90,102,134,135,151,163,176,185,211,212,218,232,249,258,277,284,285,290,293,301,303,315,317,425,427,455,459,465,478,506,519,530,535,543,555,568,573,577,584,595,596,598,609,613
5,8,17,31,37,41,59,81,97,103,107,111,119,142,166,168,173,178,180,184,207,213,267,276,286,291,332,337,427,431,439,453,465,470,483,487,492,493,494,498,504,517,518,555,563,570,577,578,590,592
21,22,26,31,37,40,77,78,105,112,120,121,146,156,158,175,183,198,221,232,251,260,264,268,313,338,365,417,424,427,429,458,466,472,478,484,487,491,509,514,532,536,555,556,562,566,576,579,593,598
5,12,42,45,60,90,94,100,103,107,109,110,114,116,117,120,144,151,178,191,194,197,209,212,246,247,259,263,277,287,312,316,394,396,427,428,456,457,467,477,479,509,518,521,540,548,577,579,584,615
20,48,54,78,82,93,95,101,116,132,140,153,155,162,173,208,215,220,228,231,237,248,282,283,294,303,308,339,364,369,424,427,440,454,464,487,493,499,501,514,520,527,545,553,558,566,570,577,578,587
1,6,12,17,24,25,29,38,42,46,49,80,98,134,143,167,170,175,177,179,184,213,219,231,249,257,297,301,315,337,424,427,439,453,455,459,461,470,476,479,498,507,525,533,552,565,571,577,579,608
5,8,17,31,37,41,59,81,97,103,107,111,119,142,166,168,173,178,180,184,207,213,267,276,286,291,332,337,427,431,439,453,465,470,483,487,492,493,494,498,504,517,518,555,563,570,577,578,590,592
21,22,26,31,37,40,77,78,105,112,120,121,146,156,158,175,183,198,221,232,251,260,264,268,313,338,365,417,424,427,429,458,466,472,478,484,487,491,509,514,532,536,555,556,562,566,576,579,593,598
5,12,42,45,60,90,94,100,103,107,109,110,114,116,117,120,144,151,178,191,194,197,209,212,246,247,259,263,277,287,312,316,394,396,427,428,456,457,467,477,479,509,518,521,540,548,577,579,584,615
20,48,54,78,82,93,95,101,116,132,140,153,155,162,173,208,215,220,228,231,237,248,282,283,294,303,308,339,364,369,424,427,440,454,464,487,493,499,501,514,520,527,545,553,558,566,570,577,578,587
1,6,12,17,24,25,29,38,42,46,49,80,98,134,143,167,170,175,177,179,184,213,219,231,249,257,297,301,315,337,424,427,439,453,455,459,461,470,476,479,498,507,525,533,552,565,571,577,579,608
3,26,31,59,66,76,82,89,104,111,113,137,142,153,162,175,182,183,194,239,254,263,282,291,306,313,332,333,393,427,428,429,440,454,483,498,519,530,549,554,558,563,566,568,577,579,584,597,599,615
3,18,30,39,41,59,76,81,93,111,115,118,122,150,155,161,170,175,176,183,185,198,216,221,229,238,250,257,268,270,309,311,336,369,394,425,427,454,470,473,494,500,514,532,551,564,579,584,587,594
17,33,40,49,80,88,92,110,115,121,127,130,169,174,177,185,188,208,216,222,245,259,270,286,287,303,306,368,423,425,427,429,430,431,458,503,510,512,521,535,537,548,555,576,577,584,593,597,603,615
22,23,28,37,49,50,66,71,78,86,95,123,149,153,156,169,179,183,217,219,227,233,240,256,261,271,276,293,309,333,365,367,369,412,424,427,457,467,470,477,479,495,521,523,531,551,574,577,584,596
14,21,45,80,87,94,113,118,135,137,159,175,180,194,211,216,219,235,239,244,247,258,293,302,310,319,412,424,427,440,453,456,459,465,466,469,485,490,492,498,503,506,533,536,558,563,577,578,584,596
1,9,16,30,38,52,55,56,78,114,119,126,130,146,148,150,153,164,174,190,195,209,217,225,231,263,271,291,298,315,336,427,429,453,459,463,471,478,495,508,514,559,563,565,570,572,577,578,588,612
7,12,19,24,25,47,81,86,113,116,121,132,138,142,162,174,176,181,189,197,223,248,271,285,290,293,316,365,424,427,428,441,460,465,466,489,491,500,506,516,517,522,539,551,555,559,563,579,584,589
5,16,17,18,28,51,67,73,78,84,112,121,136,143,151,177,181,182,198,209,219,223,228,246,259,263,271,278,285,312,364,424,426,455,463,465,471,479,483,491,493,504,537,560,562,576,577,579,584,615
16,27,39,61,88,99,123,140,158,163,165,168,176,181,186,197,207,216,229,237,244,246,290,298,303,306,336,366,390,394,412,425,427,428,440,453,460,462,469,477,479,494,518,535,552,555,576,579,584,597
31,47,49,58,81,86,90,102,134,135,151,163,176,185,211,212,218,232,249,258,277,284,285,290,293,301,303,315,317,425,427,455,459,465,478,506,519,530,535,543,555,568,573,577,584,595,596,598,609,613
1,9,16,30,38,52,55,56,78,114,119,126,130,146,148,150,153,164,174,190,195,209,217,225,231,263,271,291,298,315,336,427,429,453,459,463,471,478,495,508,514,559,563,565,570,572,577,578,588,612
7,12,19,24,25,47,81,86,113,116,121,132,138,142,162,174,176,181,189,197,223,248,271,285,290,293,316,365,424,427,428,441,460,465,466,489,491,500,506,516,517,522,539,551,555,559,563,579,584,589
5,16,17,18,28,51,67,73,78,84,112,121,136,143,151,177,181,182,198,209,219,223,228,246,259,263,271,278,285,312,364,424,426,455,463,465,471,479,483,491,493,504,537,560,562,576,577,579,584,615
16,27,39,61,88,99,123,140,158,163,165,168,176,181,186,197,207,216,229,237,244,246,290,298,303,306,336,366,390,394,412,425,427,428,440,453,460,462,469,477,479,494,518,535,552,555,576,579,584,597
31,47,49,58,81,86,90,102,134,135,151,163,176,185,211,212,218,232,249,258,277,284,285,290,293,301,303,315,317,425,427,455,459,465,478,506,519,530,535,543,555,568,573,577,584,595,596,598,609,613
1,9,16,30,55,56,78,114,119,126,130,133,146,148,150,153,156,164,174,190,195,209,217,225,231,263,271,291,298,315,336,358,427,429,458,463,471,478,495,508,514,559,563,565,570,572,577,578,588,612
4,7,12,22,24,25,27,37,79,116,122,132,134,138,142,162,174,176,179,181,187,193,197,223,290,293,316,334,365,425,427,441,460,464,479,488,489,500,506,516,517,522,536,539,551,555,559,563,579,589
5,16,17,18,28,52,67,73,79,84,109,112,120,121,127,136,177,181,182,193,209,211,219,223,228,246,259,271,278,285,293,331,364,455,463,465,471,479,483,491,493,494,504,537,539,576,579,584,593,615
16,27,39,61,88,138,140,158,163,165,168,176,178,181,186,188,197,207,216,227,229,244,246,290,291,298,303,336,366,390,394,425,427,428,440,460,462,469,477,479,494,518,535,552,555,576,579,584,596,597
