9,69,106,129,132,139,141,164,193,198,200,201,211,215,224,233,237,240,294,296,331,334,363,388,394,410,415,418,426,428,429,431,459,479,480,486,487,488,489,526,535,540,547,548,550,551,553,566,576,581
3,69,100,106,108,111,129,132,161,164,166,198,199,200,201,204,214,221,224,230,240,252,270,293,296,331,359,362,394,396,412,418,428,429,431,459,478,479,480,494,513,517,518,522,525,545,547,548,551,576
9,15,21,97,102,132,161,169,177,198,201,206,214,224,240,294,296,334,335,359,363,388,394,396,412,417,418,427,428,429,462,471,479,480,486,487,488,513,518,524,525,526,547,549,551,553,576,580,589,591
10,45,106,132,143,161,165,169,177,194,200,201,203,214,215,230,240,242,259,294,296,327,331,334,363,388,394,396,412,414,418,428,431,460,478,479,480,486,488,489,493,503,525,526,540,547,548,551,576,580
9,45,100,101,105,129,161,176,181,198,201,203,209,224,271,294,296,331,334,335,362,363,388,393,394,396,412,414,416,417,418,428,429,431,462,479,480,487,488,489,490,517,518,519,540,547,548,551,554,576
8,13,69,104,111,129,139,141,165,187,193,201,203,214,224,227,240,249,296,323,331,334,362,388,392,394,396,410,414,418,426,428,433,459,460,473,479,480,484,486,487,488,495,540,547,548,553,566,576,581
9,16,37,100,105,110,118,129,132,139,166,176,187,200,203,212,224,230,240,293,296,331,334,362,383,388,394,395,396,411,418,428,459,460,462,473,479,480,484,487,488,489,507,517,518,522,544,545,547,576
9,16,69,97,110,132,139,157,177,193,198,201,212,214,224,240,294,296,299,331,334,388,394,396,411,413,417,428,431,452,460,462,473,479,480,484,487,488,518,525,526,537,544,545,547,548,551,567,576,581
10,66,68,69,101,106,109,161,165,177,200,203,205,211,214,220,224,230,240,259,294,296,325,331,334,362,388,394,396,410,412,417,418,428,431,459,460,462,473,479,480,485,486,488,489,540,548,551,576,581
9,66,69,107,129,132,141,176,198,201,203,211,215,224,240,259,294,296,328,331,334,362,382,392,394,396,412,414,418,428,431,459,460,462,473,479,480,484,487,488,489,517,525,540,544,547,548,551,554,576
