58,112,116,142,303,333,385,425,441,463,592,717,773,779,859,861,1000,1195,1264,1402,1568,1780,1981,1991,2119,2160,2408,2415,2426,2448,2451,2455,2555,2625,2669,2804,3157,3172,3234,3489,3500,3508,3697,3725,3935,4424,4455,4474,4800,4922,4927,4954,5052,5079,5186,5235,5242,5263,5284,5339,5756,5815,5827,5908
14,69,103,219,231,251,267,333,337,362,381,419,425,471,523,549,597,773,847,884,912,1008,1102,1155,1238,1323,1400,1494,1926,2065,2455,2753,2805,2832,3233,3495,3500,3605,3620,3706,3714,3879,3935,4027,4047,4175,4212,4490,4645,4927,4930,5036,5118,5207,5257,5339,5344,5420,5524,5643,5669,5756,5800,5871
24,146,302,303,381,419,425,547,659,698,779,786,826,846,861,995,1179,1205,1264,1266,1388,1462,1632,1723,1782,1815,1967,2037,2077,2084,2132,2167,2304,2448,2455,2662,2753,2789,2945,2991,3172,3192,3194,3210,3234,3500,3602,3687,4292,4395,4549,4697,4942,5023,5049,5063,5133,5263,5459,5600,5622,5712,5742,5856
25,37,102,103,145,262,285,292,301,332,384,463,571,607,677,696,721,890,1102,1111,1155,1212,1494,1991,2077,2084,2574,2734,2804,2830,2834,2895,2960,3023,3120,3257,3359,3500,3501,3721,3840,4013,4388,4395,4443,4498,4580,4639,4656,4697,4704,4728,4737,4763,4908,4928,4944,4948,5155,5263,5382,5557,5779,5892
87,131,142,219,244,285,306,471,520,640,674,762,847,912,989,1070,1199,1230,1264,1400,1424,1494,1565,1793,2227,2273,2328,2560,2804,2895,2962,2991,2993,3076,3128,3215,3502,3508,3534,3584,3629,3687,3715,3782,3789,3804,3869,3935,4439,4448,4570,4697,4704,4749,5034,5060,5154,5357,5440,5472,5548,5665,5695,5756
58,112,116,142,303,333,385,425,441,463,592,717,773,779,859,861,1000,1195,1264,1402,1568,1780,1981,1991,2119,2160,2408,2415,2426,2448,2451,2455,2555,2625,2669,2804,3157,3172,3234,3489,3500,3508,3697,3725,3935,4424,4455,4474,4800,4922,4927,4954,5052,5079,5186,5235,5242,5263,5284,5339,5756,5815,5827,5908
14,69,103,219,231,251,267,333,337,362,381,419,425,471,523,549,597,773,847,884,912,1008,1102,1155,1238,1323,1400,1494,1926,2065,2455,2753,2805,2832,3233,3495,3500,3605,3620,3706,3714,3879,3935,4027,4047,4175,4212,4490,4645,4927,4930,5036,5118,5207,5257,5339,5344,5420,5524,5643,5669,5756,5800,5871
24,146,302,303,381,419,425,547,659,698,779,786,826,846,861,995,1179,1205,1264,1266,1388,1462,1632,1723,1782,1815,1967,2037,2077,2084,2132,2167,2304,2448,2455,2662,2753,2789,2945,2991,3172,3192,3194,3210,3234,3500,3602,3687,4292,4395,4549,4697,4942,5023,5049,5063,5133,5263,5459,5600,5622,5712,5742,5856
25,37,102,103,145,262,285,292,301,332,384,463,571,607,677,696,721,890,1102,1111,1155,1212,1494,1991,2077,2084,2574,2734,2804,2830,2834,2895,2960,3023,3120,3257,3359,3500,3501,3721,3840,4013,4388,4395,4443,4498,4580,4639,4656,4697,4704,4728,4737,4763,4908,4928,4944,4948,5155,5263,5382,5557,5779,5892
87,131,142,219,244,285,306,471,520,640,674,762,847,912,989,1070,1199,1230,1264,1400,1424,1494,1565,1793,2227,2273,2328,2560,2804,2895,2962,2991,2993,3076,3128,3215,3502,3508,3534,3584,3629,3687,3715,3782,3789,3804,3869,3935,4439,4448,4570,4697,4704,4749,5034,5060,5154,5357,5440,5472,5548,5665,5695,5756
