9,35,460,475,551,560,670,748,759,768,780,899,931,1011,1025,1155,1160,1215,1257,1417,1465,1513,1911,1966,2091,2100,2360,2785,2829,3106,3144,3463,3598,3703,3822,4095,4277,4426,4428,4582,4593,4596,4723,4836,4920,4932,4978,4999,5016,5048,5402,5694,5714,5999,6089,6100,6137,6152,6238,6278,6385,6547,6652,6707
4,28,154,223,361,370,442,476,516,638,833,850,870,922,931,948,951,1028,1057,1068,1415,1671,1848,1854,1872,1886,2019,2046,2137,2169,2303,2471,2493,2528,2932,3010,3208,3405,3527,3578,3832,3919,4016,4109,4234,4345,4417,4426,4678,4710,4774,5488,5506,5647,5731,5734,5848,5853,6278,6422,6478,6529,6655,6703
9,34,82,88,122,140,163,243,308,404,421,523,568,583,588,754,993,995,1000,1001,1123,1144,1402,1415,1532,1561,1562,1712,1896,2189,2333,2384,2459,2493,2507,2583,2705,2796,3184,3217,3260,3305,3506,3525,4285,4380,4639,4714,4755,5048,5221,5375,5498,5686,5694,5787,5833,5900,5970,6037,6128,6512,6525,6988
23,29,33,121,138,448,495,582,680,703,761,845,935,1010,1024,1057,1087,1148,1165,1220,1260,1299,1339,1396,1448,1476,1496,1608,1656,1692,1948,1959,1989,1996,2001,2193,2453,2542,2754,2785,3006,3127,3136,3139,3184,3281,3354,3810,3830,4184,4204,5266,5277,5696,6126,6189,6278,6634,6716,6762,6818,6880,6994,7034
4,53,54,71,89,96,328,343,403,415,495,587,851,868,880,1144,1254,1435,1662,1823,1826,1856,1917,1968,2049,2069,2110,2119,2420,2464,2553,2728,2808,2823,3184,3351,3405,3678,4046,4175,4380,4596,4639,4841,4845,4932,4949,4967,4975,4999,5297,5401,5531,5845,6077,6091,6100,6313,6366,6385,6574,6629,6651,6794
33,157,263,278,324,475,488,507,546,768,775,833,1111,1144,1234,1285,1388,1468,1487,1524,1532,1640,1649,1767,1790,1816,1824,1901,1939,1956,2260,2333,2499,2508,2620,2718,2892,3174,3208,3242,3303,3381,3547,3679,3706,3781,3810,3919,3980,4417,4679,4841,5037,5325,5442,5647,5759,5845,5900,6162,6529,6629,6703,6842
98,167,535,562,723,739,766,851,935,951,959,1024,1087,1181,1354,1421,1487,1660,1691,1741,1878,2010,2175,2251,2446,2464,2489,2822,2892,3093,3159,3182,3214,3224,3409,3463,3506,3648,3980,4016,4037,4148,4419,4435,4463,4596,4639,4661,4806,4932,5457,5485,5647,5686,6347,6369,6387,6483,6629,6647,6703,6845,6999,7030
151,167,208,276,287,396,447,483,650,728,780,893,904,938,1039,1096,1299,1337,1386,1392,1683,1775,1848,1863,1974,2209,2367,2411,2441,2446,2453,2828,2838,2852,3211,3237,3420,3468,3527,3678,3833,3951,4257,4278,4597,4801,4847,4967,4973,5277,5474,5613,5647,5690,5936,6322,6394,6512,6547,6629,6695,6707,7053,7065
7,31,32,38,297,364,378,460,465,549,723,783,940,1148,1150,1172,1219,1337,1345,1360,1525,1584,1713,1722,1723,1729,2539,2610,2677,2820,3097,3140,3142,3604,3771,3791,3850,3858,3881,3967,4148,4159,4223,4245,4456,4828,4967,5098,5250,5488,5631,5777,6035,6052,6097,6100,6106,6162,6271,6354,6491,6785,6906,6953
49,72,291,379,412,728,775,779,810,890,948,1194,1295,1299,1322,1347,1422,1453,1479,1501,1521,1723,1773,1919,1932,1993,2052,2053,2091,2189,2446,2513,2752,2967,3132,3174,3281,3380,3420,3607,3640,3699,3775,3850,4095,4234,4431,4577,4669,4920,5167,5457,5587,5690,6004,6035,6040,6046,6114,6335,6366,6520,6526,6927
